time	V(2)	V(d1)	V(d2)
1.079491564886608e-002	4.536832e-005	1.345025e-002	5.339352e+000
1.080501978756341e-002	4.550634e-005	1.349986e-002	5.241518e+000
1.081512392626075e-002	4.564521e-005	1.354785e-002	5.140732e+000
1.088841967431117e-002	4.665853e-005	1.401061e-002	3.514067e+002
1.088913266796925e-002	4.666857e-005	1.407952e-002	7.823975e+000
1.088941786543248e-002	4.667258e-005	1.408079e-002	6.142167e+000
1.088998826035894e-002	4.668062e-005	1.408259e-002	2.966115e+000
1.089112905021187e-002	4.669669e-005	1.408637e-002	3.323439e+000
1.092535274579961e-002	4.718176e-005	1.418629e-002	2.864148e+000
1.096200061982483e-002	4.770441e-005	1.431035e-002	1.850657e+002
1.096285621221452e-002	4.771666e-005	1.432909e-002	1.505984e+000
1.096399700206744e-002	4.773301e-005	1.433099e-002	1.678284e+000
1.097410114076478e-002	4.787807e-005	1.434626e-002	1.519030e+000
1.098420527946211e-002	4.802319e-005	1.435902e-002	1.361902e+000
1.099430941815945e-002	4.816838e-005	1.436928e-002	1.206898e+000
1.100441355685678e-002	4.831363e-005	1.437704e-002	1.054020e+000
1.101451769555412e-002	4.845895e-005	1.438230e-002	9.032680e-001
1.102462183425145e-002	4.860434e-005	1.438505e-002	7.546408e-001
1.103472597294879e-002	4.874979e-005	1.438531e-002	6.081391e-001
1.110802172099921e-002	4.980328e-005	1.434293e-002	-6.735581e+001
1.110973290577860e-002	4.982780e-005	1.432799e-002	-1.331252e+000
1.111201448548445e-002	4.986048e-005	1.432449e-002	-1.520996e+000
1.114395660136634e-002	5.031627e-005	1.426572e-002	-1.865438e+000
1.118046187665994e-002	5.083206e-005	1.417809e-002	-2.227600e+000
1.125375762471036e-002	5.185884e-005	1.387029e-002	-2.737190e+002
1.125447061836844e-002	5.186869e-005	1.381587e-002	-8.462055e+000
1.125475581583167e-002	5.187263e-005	1.381448e-002	-6.651638e+000
1.125532621075814e-002	5.188051e-005	1.381253e-002	-3.231564e+000
1.125646700061106e-002	5.189626e-005	1.380836e-002	-3.642827e+000
1.129786137527434e-002	5.246231e-005	1.364067e-002	-3.911715e+000
1.133925574993761e-002	5.301545e-005	1.346770e-002	-4.137434e+000
1.138065012460088e-002	5.355568e-005	1.328945e-002	-4.319984e+000
1.142204449926416e-002	5.408298e-005	1.310591e-002	-4.459364e+000
1.146343887392743e-002	5.459736e-005	1.291710e-002	-4.555575e+000
1.150483324859071e-002	5.509883e-005	1.272300e-002	-4.608617e+000
1.154622762325398e-002	5.558737e-005	1.252362e-002	-4.618489e+000
1.183826982560275e-002	5.893035e-005	1.084748e-002	-2.734157e+003
1.183841242433437e-002	5.893190e-005	1.071698e-002	-2.735034e+003
1.183869762179760e-002	5.893487e-005	1.045668e-002	-1.823407e+003
1.183926801672406e-002	5.894084e-005	1.045541e-002	-2.107167e+000
1.184040880657699e-002	5.895276e-005	1.045272e-002	-2.360381e+000
1.185051294527432e-002	5.905807e-005	1.042976e-002	-2.260137e+000
1.186061708397166e-002	5.916314e-005	1.040869e-002	-2.157322e+000
1.187072122266899e-002	5.926796e-005	1.038950e-002	-2.051936e+000
1.188082536136633e-002	5.937255e-005	1.037220e-002	-1.943980e+000
1.189092950006366e-002	5.947689e-005	1.035678e-002	-1.833453e+000
1.190103363876099e-002	5.958100e-005	1.034325e-002	-1.720355e+000
1.191113777745833e-002	5.968487e-005	1.033161e-002	-1.604686e+000
1.198414832804552e-002	6.043506e-005	1.027009e-002	-6.376271e-001
1.200240096569232e-002	6.062255e-005	1.026766e-002	-2.602809e-001
1.203890624098592e-002	6.099933e-005	1.029783e-002	5.242565e-001
1.211220198903634e-002	6.176031e-005	1.046040e-002	1.565554e+002
1.211391317381573e-002	6.177827e-005	1.049335e-002	2.031992e+000
1.211619475352158e-002	6.180223e-005	1.049862e-002	2.301408e+000
1.214813686940347e-002	6.213997e-005	1.057886e-002	2.528839e+000
1.218464214469707e-002	6.253204e-005	1.068405e-002	2.767734e+000
1.225765269528426e-002	6.333974e-005	1.092945e-002	3.178245e+000
1.240367379645865e-002	6.506374e-005	1.150133e-002	3.730182e+000
1.269571599880742e-002	6.872404e-005	1.317604e-002	3.033371e+003
1.269585859753903e-002	6.872592e-005	1.332084e-002	3.034572e+003
1.269614379500226e-002	6.872980e-005	1.360990e-002	2.023786e+003
1.269671418992873e-002	6.873757e-005	1.361205e-002	3.548587e+000
1.269785497978165e-002	6.875310e-005	1.361660e-002	3.988212e+000
